"city","month","days","mm"
"Cairns","Jan",19,320
"Cairns","Feb",19,380
"Cairns","Mar",19,360
"Cairns","Apr",19,190
"Cairns","May",16,110
"Cairns","Jun",12,50
"Cairns","Jul",11,30
"Cairns","Aug",10,20
"Cairns","Sep",9,40
"Cairns","Oct",10,50
"Cairns","Nov",12,130
"Cairns","Dec",16,130
"Melbourne","Jan",8,47
"Melbourne","Feb",7,46
"Melbourne","Mar",9,44
"Melbourne","Apr",12,53
"Melbourne","May",15,68
"Melbourne","Jun",15,43
"Melbourne","Jul",16,49
"Melbourne","Aug",16,57
"Melbourne","Sep",15,53
"Melbourne","Oct",14,65
"Melbourne","Nov",12,57
"Melbourne","Dec",10,58
"Sydney","Jan",16,131
"Sydney","Feb",14,126
"Sydney","Mar",15,164
"Sydney","Apr",12,133
"Sydney","May",13,101
"Sydney","Jun",13,140
"Sydney","Jul",11,56
"Sydney","Aug",10,99
"Sydney","Sep",11,65
"Sydney","Oct",13,88
"Sydney","Nov",15,116
"Sydney","Dec",14,85
